factor
DAVOL5
VOSC
momentum
Kurtosis60
Skewness60
Skewness20
MAWVAD
turnover_volatility
Variance20
MASS
VMACD
single_day_VPT_12
single_day_VPT
ROC120
BIAS60
arron_down_25
arron_up_25
Rank1M
bear_power
liquidity
VDIFF
OBV
DMI_PLUS_DI
DMI_ADX
VWAP_DIFF
PRICE_POSITION_60
VOLATILITY_RATIO
VOLUME_RATIO_5
TREND_STRENGTH
RSI24
MACD_DEA
ADL
CMF
TRIX
UOS
ROC5
ROC10
AMPLITUDE_20
VOLUME_TREND
PRICE_VOLUME_CORR
MAX_DRAWDOWN_60
SHARPE_LIKE
SORTINO_LIKE
CALMAR_LIKE
BIAS5
BIAS20
PRICE_MA60_RATIO
TURNOVER_20
MIN_RETURN_20
